Fecha;Casos-nuevos-con-sintomas;Casos-totales;Casos-recuperados;Fallecidos;Casos-activos;Casos-nuevos-sin-sintomas;Casos-nuevos-totales;Casos-activos-por-FD;Casos-activos-por-FIS;Casos-recuperados-por-FIS;Casos-recuperados-por-FD;Casos-confirmados-recuperados;Casos-activos-confirmados;Casos-probables-acumulados;Casos-activos-probables;Casos-nuevos-sin-notificar;Casos-confirmados-por-antigeno;Casos-con-sospecha-de-reinfeccion;Casos-nuevos-confirmados-por-antigeno
22-12-2020;1086;589189;;16217;12794;576;1699;25655;12794;560178;547317;559845;12794;81608;2275;37;;;
23-12-2020;1281;590914;;16228;12561;414;1726;26136;12561;562125;548550;561794;12561;82085;2473;31;;;
24-12-2020;1598;593310;;16303;13214;741;2395;26870;13214;563793;550137;563457;13214;82518;2555;56;;;
25-12-2020;1597;595831;;16358;14133;860;2520;27857;14133;565340;551616;565002;14133;82871;2580;63;;;
26-12-2020;1618;598394;;16404;14275;864;2564;28613;14275;567715;553377;567376;14275;83082;2374;82;;;
27-12-2020;1105;600105;;16443;13745;565;1711;28186;13745;569917;555476;569578;13745;83161;2154;41;;;
28-12-2020;1395;602028;;16443;13572;489;1923;28198;13572;572013;557387;571674;13572;83329;2001;39;;;
29-12-2020;1410;603986;;16488;13477;499;1958;28657;13477;574021;558841;573681;13477;83505;1929;49;;;
30-12-2020;1554;605950;;16499;13514;363;1961;29219;13514;575937;560232;575595;13514;84213;2350;44;;;
31-12-2020;2036;608973;;16608;14638;873;3022;30241;14638;577727;562124;577382;14638;84939;2780;113;;;
